1  3277.533333
1  3246.833333
5  903.350000
5  900.433333
5  909.416667
5  849.316667
5  848.683333
3  1294.333333
3  1244.733333
3  1297.216667
3  1267.833333
3  1280.483333
1  3239.350000
1  3330.333333
1  3103.816667
4  1006.150000
4  982.616667
4  964.683333
4  954.383333
4  997.833333
2  1772.416667
2  1864.200000
2  1746.183333
2  1813.416667
2  1862.900000
1  3373.566667
2  1799.233333
3  1248.433333
4  1015.650000
5  870.083333
5  867.400000
5  918.783334
5  875.016667
5  832.566667
4  1036.850000
4  997.983333
4  974.783333
4  971.883333
1  3254.933333
1  3354.116667
1  3226.550000
3  1210.266667
3  1239.566667
3  1252.733333
3  1188.800000
2  1804.166667
2  1718.766667
2  1744.833333
2  1862.250000
1  3121.366667
