3.480796 0.600000
4.783951 0.816667
6.121399 1.033333
7.510288 1.250000
8.864883 1.466667
10.339506 1.750000
11.659808 1.950000
13.220164 2.233333
14.780521 2.483333
16.135117 2.683333
17.524006 3.016667
19.615913 3.316667
21.724966 3.700000
23.782579 4.116667
26.320303 4.616667
27.383402 4.766667
29.286694 5.100000
30.264061 5.300000
32.184498 5.600000
33.521946 5.800000
35.836761 6.300000
37.105621 6.500000
37.962963 6.533333
39.180382 6.816667
40.860767 7.150000
42.506859 7.300000
43.861454 7.566667
45.661865 7.866667
46.947872 8.233333
48.765434 8.500000
50.634430 8.750000
52.623455 9.166667
54.681068 9.516667
56.207130 9.766667
58.161865 10.233333
59.722221 10.350000
61.745541 10.833333
63.443069 10.966667
65.517830 11.450000
67.935524 11.933333
69.461594 12.133333
70.884773 12.483333
72.633743 12.666667
74.039780 12.916667
75.462959 13.400000
77.692047 13.633333
78.995201 13.816667
80.812759 14.466666
82.081619 14.583333
82.938957 14.516667
84.653633 14.850000
84.996567 14.916667
86.556931 15.350000
88.117287 15.566667
89.420441 16.033333
90.740738 15.966667
91.941017 16.516667
94.118652 16.666667
96.262001 17.283333
96.862137 17.616667
98.182442 17.700000
99.211243 18.116667
99.982849 18.250000
99.982849 18.116667
