1.406036 0.378000
1.268861 0.471000
1.251715 0.556000
1.251715 0.270000
1.251715 0.240000
1.406036 0.254000
2.194787 0.377000
3.326474 0.505000
3.772291 0.732000
2.177641 0.592000
2.194787 0.435000
3.309328 0.479000
3.669410 0.641000
5.178327 1.209000
6.310014 1.195000
7.767489 1.834000
9.019204 1.770000
10.099451 2.336000
11.368313 2.251000
12.602880 2.655000
13.820303 3.297000
15.020576 3.719000
2.194787 0.428000
3.309328 0.505000
3.789438 0.852000
5.504115 1.130000
6.807270 1.130000
2.194787 0.367000
3.326474 0.573000
5.195473 0.877000
6.138546 1.012000
