5.641289  1.000000
7.561728  0.316667
9.567902  0.516667
11.488340  0.200000
13.563100  0.366667
15.689300  0.533333
5.641289  0.950000
7.578875  0.300000
9.499314  0.400000
11.488340  0.383333
13.545953  0.300000
15.843621  0.600000
17.935528  0.183333
5.641289  0.950000
7.578875  0.300000
9.499314  0.450000
11.505486  0.316667
13.545953  0.233333
15.877914  0.783333
18.329903  0.300000
5.641289  0.966667
7.475995  0.250000
9.482167  0.466667
11.471193  0.350000
13.545953  0.516667
16.049381  0.350000
18.227022  0.300000
20.404663  -2.966667
5.641289  0.933333
7.596022  0.300000
9.465021  0.333333
11.505486  0.350000
13.528806  0.483333
15.843621  0.366667
18.329903  0.416667
5.641289  0.916667
7.510288  0.366667
9.447874  0.383333
11.248285  0.250000
12.894376  0.283333
14.831962  0.550000
16.975309  0.300000
19.598766  0.416667
22.616598  0.533333
