5.641289 1.000000
7.561728 1.316667
9.567902 1.833333
11.488340 2.033333
13.563100 2.400000
15.689300 2.933333
5.641289 0.950000
7.578875 1.250000
9.499314 1.650000
11.488340 2.033333
13.545953 2.333333
15.843621 2.933333
17.935528 3.116667
5.641289 0.950000
7.578875 1.250000
9.499314 1.700000
11.505486 2.016667
13.545953 2.250000
15.877914 3.033333
18.329903 3.333333
5.641289 0.966667
7.475995 1.216667
9.482167 1.683333
11.471193 2.033334
13.545953 2.550000
16.049381 2.900000
18.227022 3.200000
20.404663 0.233333
5.641289 0.933333
7.596022 1.233333
9.465021 1.566667
11.505486 1.916667
13.528806 2.400000
15.843621 2.766667
18.329903 3.183333
5.641289 0.916667
7.510288 1.283334
9.447874 1.666667
11.248285 1.916667
12.894376 2.200000
14.831962 2.750000
16.975309 3.050000
19.598766 3.466667
22.616598 4.000000
